,thermalZone.TAir,weaBus.TDryBul,totalHeatingPower.y,weaDat.weaBus.HGloHor
0,19.8695625,-7.59491,4228.66666666667,-2.11194
3,19.871,-8.018595,4180.0,-2.11194
6,19.847250000000003,-9.65484566666667,4738.66666666667,-1.830348
9,19.884125,-8.682352,4542.0,-2.11194
12,19.8858125,-9.67875033333333,3458.0,-2.11194
15,19.8099375,-8.55010766666667,4985.33333333333,-2.11194
18,19.8621875,-8.09844933333333,4080.0,-2.11194
21,19.801250000000003,-8.16355366666667,5002.66666666667,-2.11194
24,19.8398125,-8.085226,5439.33333333333,-2.11194
27,19.8785,-8.90462166666667,4240.0,-2.11194
30,19.8085,-8.78662133333333,4938.66666666667,-2.11194
33,19.872375,-8.778994,5328.0,-2.11194
36,19.900625,-8.49691413793103,5087.33333333333,-2.11194
39,19.93475,-8.35274586206897,5333.33333333333,-2.11194
42,19.931875,-8.55795103448276,4009.33333333333,-2.11194
45,19.827687500000003,-8.24119965517241,5674.66666666667,-2.11194
48,19.9393125,-7.82124633333333,2793.33333333333,-2.11194
51,19.7949375,-7.85787033333333,4931.33333333333,-2.11194
54,19.803875,-7.549644,4950.0,-2.11194
57,19.8648125,-7.04966266666667,4616.0,-2.11194
60,19.8113125,-6.75008033333333,4926.66666666667,-2.147139
63,19.8054375,-6.83654666666667,4920.0,-2.11194
66,19.8398125,-7.13730448275862,4690.66666666667,-2.11194
69,19.805375,-6.79634965517241,4862.0,-2.11194
72,19.839625,-6.56167689655172,4724.66666666667,-2.11194
75,19.8425625,-6.43908172413793,4156.0,-2.11194
78,19.823375,-6.11917379310345,4922.66666666667,-3.0950844827586
81,19.860375,-6.73939933333333,4112.66666666667,-2.041542
84,19.807,-6.19441310344828,5182.66666666667,-2.2575910344827
87,19.8233125,-6.551716,5303.33333333333,-0.316791
90,19.896187500000003,-5.66246344827586,4296.0,3.568454137931
93,19.859,-4.80007896551724,4502.0,9.7950451724138
96,19.875125,-3.73038482758621,5110.0,19.8449862068966
99,19.95725,-3.26683275862069,2628.66666666667,33.0992379310345
102,19.783,-3.22473862068966,4461.33333333333,51.5969586206897
105,19.844125,-2.812805,2461.33333333333,136.501933333333
108,19.8814375,-2.30112833333333,1808.66666666667,201.5851
111,19.8264375,-2.09055733333333,4457.33333333333,186.202966666667
114,20.15675,-1.71926066666667,1096.66666666667,329.1814666666669
117,20.141875,-2.190246,1794.0,223.5844
120,20.0214375,-2.451172,3860.66666666667,203.0283
123,20.150875,-2.53916266666667,2006.66666666667,206.3366
126,20.103,-2.49033633333333,1839.33333333333,170.6446
129,19.9201875,-2.55391266666667,3863.33333333333,157.868
132,20.02725,-2.383015,2844.0,170.363
135,20.0376875,-2.37393,1681.33333333333,179.769896551724
138,19.8978125,-2.29816103448276,4006.66666666667,184.722172413793
141,20.055625,-2.28184896551724,2238.0,186.542862068966
144,20.031625,-2.23239517241379,1168.66666666667,198.086034482759
147,19.9155625,-2.21873133333333,4143.33333333333,167.406666666667
150,20.068875,-2.15057266666667,2234.66666666667,179.2334
153,20.0138125,-2.124127,1166.66666666667,177.403
156,19.941000000000003,-2.12361733333333,3854.66666666667,183.8798
159,20.080875,-2.113956,2556.66666666667,154.4536
162,20.094,-1.96950466666667,3216.66666666667,160.22639999999998
165,20.1000625,-2.06258266666667,1492.66666666667,151.356
168,19.87525,-2.127686,2440.0,127.35026666666698
171,19.796625,-2.22178333333333,3544.66666666667,110.5602
174,19.8351875,-2.24449551724138,1420.66666666667,92.1608310344828
177,19.6195625,-2.23081620689655,2786.66666666667,101.627896551724
180,19.649375,-2.13452551724138,4948.66666666667,103.084448275862
183,19.845625,-1.97404620689655,2396.0,121.254931034483
186,19.881375,-2.15820166666667,3387.33333333333,82.01379
189,19.903687500000004,-2.07224533333333,3038.66666666667,57.4096566666667
192,19.9720625,-1.94508866666667,3845.33333333333,45.723560000000006
195,20.009312500000004,-1.941528,1545.33333333333,28.6520166666667
198,19.7681875,-1.90032666666667,4392.0,16.261953333333302
201,19.8308125,-1.84336533333333,4284.66666666667,7.673392000000001
204,19.854625,-1.83827866666667,3136.66666666667,4.1886906666666
207,19.76825,-1.857608,4802.0,0.0
210,19.9051875,-1.86167733333333,1996.66666666667,-3.062313
213,19.8426875,-1.86981433333333,4182.0,-4.0478933333333
216,19.919875,-1.92219866666667,2785.33333333333,-3.907096
219,19.9036875,-1.875915,4016.66666666667,-3.6255013333333
222,19.8811875,-1.93668689655172,1860.0,-3.2043231034482
225,19.695375,-1.92037448275862,4925.33333333333,-3.2771493103448
228,19.8321875,-1.86934034482759,4613.33333333333,-3.0950851724137003
231,19.8366875,-1.77830862068966,3657.33333333333,-2.1847655172413
234,19.7324375,-1.75740366666667,4880.66666666667,-2.252736
237,19.884187500000003,-1.66483333333333,3024.66666666667,-2.499129
240,19.847125,-1.560058,4074.66666666667,-2.4639303333333
243,19.830625,-1.51885833333333,3902.66666666667,-3.2383086666666
246,19.8231875,-1.41865866666667,4850.0,-3.3439066666666
249,19.8873125,-1.22335033333333,3902.0,-3.3439066666666
252,19.841125,-1.12111666666667,3940.0,-3.4847046666666
255,19.8248125,-1.05550066666667,4148.0,-2.428731
258,19.9155,-0.946655133333333,2227.33333333333,-2.182338
261,19.792125,-0.758077896551724,4322.0,-2.4396548275862
264,19.8695,-0.638111896551724,4291.33333333333,-2.4032420689655
267,19.8664375,-0.500782896551724,4126.0,-3.0586717241379
270,19.8278125,-0.391866827586207,4601.33333333333,-2.8037824137931
273,19.867875,-0.288738413793103,4548.0,-3.16791
276,19.934875,-0.212198866666667,3894.66666666667,-3.16791
279,19.859,-0.244242166666667,2383.33333333333,-3.16791
282,19.7399375,-0.194905433333333,4208.66666666667,-3.16791
285,19.8068125,-0.0463867046666667,1778.66666666667,-3.16791
288,19.64175,0.1509603,4674.0,-2.076741
291,19.740125,-0.770670533333333,3556.66666666667,-2.11194
294,19.748875,-1.12467633333333,4154.66666666667,-2.11194
297,19.7265,-1.19283066666667,4645.33333333333,-2.11194
300,19.791875,-1.21114266666667,4264.66666666667,-2.11194
303,19.8470625,-1.28285466666667,3782.0,-2.11194
306,19.786125,-1.29048466666667,2403.33333333333,-2.11194
309,19.65525,-1.30634103448276,4480.0,-2.11194
312,19.765375,-1.40105,2037.33333333333,-2.11194
315,19.631375,-1.51891172413793,4508.0,-1.9662889655172
318,19.690875,-1.69517793103448,4708.0,-2.0391144827586
321,19.76675,-1.86092206896552,3062.66666666667,-2.11194
324,19.76075,-2.02443333333333,4920.66666666667,-2.11194
327,19.87525,-2.083436,2198.0,-2.11194
330,19.777125,-2.116499,4613.33333333333,-2.11194
333,19.87375,-2.17600333333333,2544.0,-2.11194
336,19.77725,-2.253318,3728.66666666667,-2.11194
339,19.7280625,-2.199402,2423.33333333333,-2.11194
342,19.5971875,-2.329102,4823.33333333333,-2.11194
345,19.7815625,-2.34334466666667,3515.33333333333,-2.11194
348,19.7488125,-2.38555566666667,3477.33333333333,-2.11194
351,19.7028125,-2.390641,4368.0,-2.11194
354,19.82625,-2.33266266666667,2547.33333333333,-2.11194
357,19.805375,-2.332154,4543.33333333333,-2.11194
360,19.8813125,-2.34792266666667,2224.66666666667,-2.11194
363,19.80525,-2.34792266666667,3740.0,-2.11194
366,19.805375,-2.30500172413793,2235.33333333333,-2.11194
369,19.659875,-2.31973551724138,4424.0,-2.11194
372,19.71775,-2.44654137931034,4498.66666666667,-2.11194
375,19.75925,-2.50231689655172,3610.66666666667,0.0
378,19.754875,-2.74803620689655,5292.0,0.9103189655172
381,19.8515,-2.84800724137931,4375.33333333333,2.6217186206896
384,19.8589375,-2.88746586206897,3912.66666666667,5.2434472413793
387,19.8173125,-2.887571,3276.0,8.166178
390,19.81875,-2.90944066666667,4328.66666666667,11.2989
393,19.8679375,-3.06112391304348,1690.0,12.6716739130435
396,19.6968125,-3.10933333333333,4472.66666666667,18.3035
399,19.825,-3.319396,2582.66666666667,24.3929266666667
402,19.82925,-3.4562524137931,3660.66666666667,30.6231620689655
405,19.9095625,-3.48624620689655,2577.33333333333,34.1916517241379
408,19.94825,-3.37259413793103,4691.33333333333,37.7965034482759
411,20.08375,-3.36059633333333,602.0,43.0484233333333
414,19.886125,-3.22428533333333,2665.33333333333,47.589123333333305
417,19.798562500000003,-3.23496466666667,4413.33333333333,46.3923433333333
420,19.915875,-3.06050466666667,1574.0,46.00515
423,19.8489375,-2.94809933333333,2012.66666666667,61.28155
426,19.761375,-2.906394,3032.0,66.4910133333333
429,19.846312500000003,-2.86570233333333,4114.66666666667,71.59490000000001
432,20.04675,-2.797544,2578.66666666667,76.3819
435,20.1240625,-2.891132,1920.0,77.40270000000001
438,19.9960625,-2.92266766666667,1920.0,93.48868
441,20.0588125,-2.82274931034483,1920.0,78.6516655172414
444,19.8741875,-2.72751551724138,1920.0,77.8869896551724
447,19.9174375,-2.65910965517241,1654.66666666667,87.8277034482759
450,19.776125000000004,-2.58124034482759,1724.66666666667,83.9679413793104
453,19.832500000000003,-2.61901866666667,5221.33333333333,105.597053333333
456,20.17925,-2.65614766666667,1640.0,98.55732
459,20.197,-2.64038133333333,3580.0,82.36578
462,20.1035,-2.539165,1574.66666666667,108.976346666667
465,19.99775,-2.27416666666667,759.333333333333,104.787626666667
468,19.796875,-2.24059933333333,4477.33333333333,62.7599266666667
471,19.8698125,-2.09666133333333,1453.33333333333,56.0368833333333
474,19.6675,-2.08852266666667,1923.33333333333,25.6953
477,19.624437500000003,-2.13379,4556.66666666667,20.5210533333333
480,19.8979375,-2.11506103448276,4107.33333333333,24.4693689655172
483,20.1000625,-2.10611551724138,3307.33333333333,20.6096551724138
486,20.0138125,-2.004396,3573.33333333333,12.671688
489,19.893500000000003,-2.00866866666667,2846.66666666667,10.2781213333333
492,19.8400625,-2.00053333333333,3735.33333333333,3.5551026666666
495,19.7938125,-1.99544633333333,4252.0,-0.140796
498,19.75525,-2.01782033333333,3207.33333333333,-2.428731
501,19.805625000000003,-2.00035689655172,4853.33333333333,-3.16791
504,19.9454375,-2.07191206896552,1658.0,-3.16791
507,19.778875,-2.06454517241379,3368.66666666667,-2.11194
510,19.7134375,-2.12347965517241,4798.0,-2.11194
513,19.81325,-2.21110133333333,2814.0,-2.11194
516,19.8563125,-2.25586,5138.0,-2.11194
519,19.9841875,-2.25636733333333,4880.0,-2.11194
522,20.0183125,-2.29146066666667,2164.0,-2.11194
525,19.86675,-2.29146066666667,3200.0,-2.11194
528,19.6895625,-2.30214266666667,1604.66666666667,-2.11194
531,19.5171875,-2.313842,4544.0,-3.16791
534,19.633125,-2.30265133333333,5219.33333333333,-3.16791
537,19.8175,-2.25026666666667,4724.66666666667,-3.16791
540,19.9469375,-2.19503448275862,5670.0,-3.16791
543,20.14175,-2.12874068965517,4114.0,-2.11194
546,20.112,-2.11769206896552,1833.33333333333,-2.11194
549,19.8324375,-2.054442,1040.66666666667,-2.11194
552,19.5915625,-2.04376,4348.66666666667,-2.11194
555,19.655375,-2.01222833333333,4728.0,-2.11194
558,19.7565625,-2.015279,4510.66666666667,-2.11194
561,19.8575625,-2.02646533333333,3628.66666666667,-2.11194
564,19.9603125,-2.00561933333333,3523.33333333333,-2.11194
567,19.89325,-1.99137733333333,4085.33333333333,-2.11194
570,19.8593125,-1.93186333333333,4180.0,-2.11194
573,19.92025,-1.80470666666667,4067.33333333333,-2.11194
576,19.9396875,-0.9807325,2442.0,-2.11194
579,19.805875,-1.10941566666667,4302.66666666667,-2.11194
582,19.7550625,-0.7879638,4663.33333333333,-2.147139
585,19.8056875,-0.717264766666667,2384.0,-2.11194
588,19.8055,-0.605875633333333,4289.33333333333,-2.182338
591,19.914125,-0.543928482758621,4280.66666666667,-2.1847655172413
594,19.9648125,-0.688623896551724,1516.66666666667,-2.2575910344827
597,19.7878125,-0.712301275862069,3636.66666666667,-2.221178275862
600,19.7060625,-0.785438172413793,4974.66666666667,-2.1483527586206
603,19.7983125,-0.848051689655172,4278.0,-2.2940037931034
606,19.944125,-0.890145379310345,4866.0,-2.3668293103448
609,20.1165,-0.974331344827586,4018.66666666667,-2.4032420689655
612,20.098625,-0.9115598,3696.0,-2.604726
615,19.969375,-0.918171933333333,3371.33333333333,-2.393532
618,19.779,-0.959879533333333,1643.33333333333,-2.217537
621,19.589875,-0.982767466666667,4958.66666666667,-2.287935
624,19.716625,-0.933430933333333,4312.0,-2.6751240000000003
627,19.843,-0.960896833333333,2734.66666666667,-2.569527
630,19.886,-0.916646166666667,3912.66666666667,-2.428731
633,19.9201875,-0.873921833333333,3466.0,-2.745522
636,19.8085625,-0.859171466666667,2160.0,-2.604726
639,19.6793125,-0.861714633333333,3577.33333333333,-2.5343280000000004
642,19.7343125,-0.98906375862069,4920.0,-2.1483527586206
645,19.8964375,-0.970122137931035,3214.0,-2.11194
648,19.8130625,-0.875938620689655,3800.0,-3.16791
651,19.7908125,-0.842263793103448,4963.33333333333,-3.16791
654,19.886,-0.912243724137931,2332.66666666667,-2.7309568965517004
657,19.746125,-0.990642413793103,4102.0,-2.11194
660,19.7224375,-0.919083965517241,3947.33333333333,-2.11194
663,19.767000000000003,-0.982749965517241,3439.33333333333,1.5657486206896
