,thermalZone.TAir,weaBus.TDryBul,totalHeatingPower.y,weaDat.weaBus.HGloHor
0,18.458,-21.857,38026.0,0.0
1,18.409,-21.843,26322.0,0.0
2,18.314,-21.956,13018.0,0.0
3,18.253,-22.041,10618.0,0.0
4,18.17,-22.13,10782.0,0.0
5,18.086,-22.122,11025.0,0.0
6,18.08,-22.2,23559.0,0.0
7,18.025,-22.267,7184.0,0.0
8,17.971,-22.302,10837.0,0.0
9,17.916,-22.369,11954.0,0.0
10,17.922,-22.423,11546.0,0.0
11,17.896,-22.388,12751.0,0.0
12,17.881,-22.413,13672.0,0.0
13,17.864,-22.504,14268.0,0.0
14,17.857,-22.556,15092.0,0.0
15,17.796,-22.592,15120.0,0.0
16,17.76,-22.71,15558.0,0.0
17,17.748,-22.846,21177.0,0.0
18,17.735,-22.99,33988.0,0.0
19,17.722,-23.041,36831.0,0.0
20,17.748,-23.048,37681.0,0.0
21,17.772,-23.129,37905.0,0.0
22,17.816,-23.174,38481.0,0.0
23,17.819,-23.301,38583.0,0.0
24,17.849,-23.489,64458.0,0.0
25,17.869,-23.647,65608.0,0.0
26,17.91,-23.711,36594.0,0.0
27,17.911,-23.88,37977.0,0.0
28,17.921,-23.988,38088.0,0.0
29,17.913,-23.968,72476.0,0.065
30,17.937,-23.979,85159.0,4.037
31,17.934,-24.017,89349.0,11.586
32,18.019,-24.073,95510.0,44.139
33,18.13,-24.071,93455.0,81.647
34,18.124,-23.955,95649.0,117.547
35,18.208,-23.737,93465.0,154.247
36,18.369,-23.424,93356.0,190.18
37,18.525,-23.049,92961.0,224.773
38,18.64,-22.701,92390.0,257.333
39,18.765,-22.29,91155.0,287.387
40,18.921,-22.026,106114.0,315.027
41,18.989,-21.76,110490.0,340.067
42,19.129,-21.349,71242.0,361.34
43,19.208,-21.159,76821.0,379.827
44,19.316,-21.078,79799.0,394.517
45,19.395,-20.726,94907.0,405.483
46,19.508,-20.198,97469.0,412.53
47,19.636,-20.161,100129.0,416.333
48,19.725,-20.027,94302.0,416.07
49,19.799,-19.548,92178.0,412.45
50,19.919,-19.141,95320.0,405.12
51,19.941,-18.966,96530.0,393.96
52,20.055,-18.791,97791.0,379.417
53,20.113,-18.625,97281.0,347.02
54,20.174,-18.092,71347.0,343.553
55,20.23,-17.808,83674.0,188.733
56,20.242,-17.973,54727.0,235.053
57,20.271,-17.699,60030.0,252.513
58,20.281,-17.454,74945.0,238.273
59,20.287,-17.457,73287.0,190.213
60,20.284,-17.387,85092.0,154.137
61,20.309,-17.454,87293.0,116.823
62,20.291,-17.543,71537.0,81.36
63,20.232,-17.778,73473.0,47.101
64,20.178,-18.233,95668.0,19.527
65,20.092,-18.751,95288.0,3.83
66,20.026,-19.008,92252.0,0.0
67,19.983,-19.169,89417.0,0.0
68,19.934,-19.164,93992.0,0.0
69,19.901,-19.209,97849.0,0.0
70,19.874,-19.262,97080.0,0.0
71,19.85,-19.422,98253.0,0.0
72,19.817,-19.657,93360.0,0.0
73,19.816,-19.814,102072.0,0.0
74,19.781,-20.008,105920.0,0.0
75,19.785,-20.112,96731.0,0.0
76,19.779,-20.21,95229.0,0.0
77,19.747,-20.267,97521.0,0.0
78,19.704,-20.334,94297.0,0.0
79,19.695,-20.429,87206.0,0.0
80,19.666,-20.522,73211.0,0.0
81,19.66,-20.584,106341.0,0.0
82,19.651,-20.587,63653.0,0.0
83,19.632,-20.645,69414.0,0.0
84,19.608,-20.735,93883.0,0.0
85,19.498,-20.788,9565.0,0.0
86,19.371,-20.91,11845.0,0.0
87,19.286,-21.076,11382.0,0.0
88,19.189,-21.224,12933.0,0.0
89,19.13,-21.322,26825.0,0.0
90,19.07,-21.406,32653.0,0.0
91,19.031,-21.457,35780.0,0.0
92,19.046,-21.504,37022.0,0.0
93,19.07,-21.522,37534.0,0.0
94,19.087,-21.642,37767.0,0.0
95,19.087,-21.765,37810.0,0.0
96,19.088,-21.696,37503.0,0.0
97,19.039,-21.872,10759.0,0.0
98,18.89,-22.787,7908.0,0.0
99,18.81,-23.055,11088.0,0.0
100,18.736,-22.575,14100.0,0.0
101,18.61,-22.338,7416.0,0.0
102,18.566,-22.147,10565.0,0.0
103,18.5,-21.969,15833.0,0.0
104,18.482,-21.904,7629.0,0.0
105,18.394,-21.924,10445.0,0.0
106,18.35,-21.807,11630.0,0.0
107,18.313,-21.721,7901.0,0.0
108,18.273,-21.837,9620.0,0.0
109,18.22,-23.232,10732.0,0.0
110,18.169,-24.032,10882.0,0.0
111,18.126,-24.266,7992.0,0.0
112,18.09,-23.686,11188.0,0.0
113,18.031,-22.819,11356.0,0.0
114,18.051,-22.523,14991.0,0.0
115,18.027,-22.48,33655.0,0.0
116,18.016,-22.458,37361.0,0.0
117,18.035,-22.524,38116.0,0.0
118,18.091,-22.51,38225.0,0.0
119,18.136,-22.466,38738.0,0.0
120,18.127,-22.51,38273.0,0.0
121,18.146,-22.424,38218.0,0.0
122,18.141,-22.308,38562.0,0.0
123,18.162,-22.18,38181.0,0.0
124,18.153,-21.975,38181.0,0.0
125,18.145,-21.843,70413.0,0.269
126,18.17,-22.684,85857.0,7.242
127,18.189,-24.073,91658.0,25.573
128,18.242,-24.472,93798.0,61.802
129,18.274,-23.619,93966.0,75.45
130,18.297,-21.616,95673.0,77.962
131,18.338,-20.69,94234.0,88.453
132,18.382,-20.153,92754.0,118.202
133,18.446,-19.398,91555.0,181.787
134,18.51,-18.606,93172.0,205.56
135,18.582,-18.146,109958.0,194.313
136,18.669,-17.702,110105.0,212.353
137,18.74,-17.269,73841.0,217.847
138,18.773,-17.063,84211.0,304.27
139,18.845,-16.716,97080.0,287.237
140,18.918,-16.28,104846.0,278.62
141,18.948,-15.651,97909.0,312.93
142,18.992,-15.536,96345.0,278.89
143,19.021,-15.215,96066.0,240.33
144,19.032,-14.776,94384.0,204.187
145,19.048,-14.709,93499.0,194.213
146,19.07,-15.493,91315.0,206.547
147,19.062,-15.871,94982.0,220.18
148,19.083,-15.945,95786.0,181.947
149,19.111,-15.932,97300.0,160.35
150,19.114,-15.64,95518.0,157.06
151,19.121,-15.089,93650.0,141.537
152,19.125,-14.599,89754.0,136.917
153,19.126,-14.086,96792.0,169.783
154,19.141,-13.717,102920.0,173.27
155,19.18,-13.232,66973.0,61.18
156,19.19,-13.44,81471.0,44.314
157,19.183,-13.949,95402.0,32.035
158,19.176,-14.067,83793.0,37.807
159,19.181,-13.986,107022.0,15.551
160,19.185,-14.142,94740.0,4.217
161,19.217,-14.384,93490.0,0.81
162,19.208,-14.872,96092.0,0.0
163,19.224,-15.31,96876.0,0.0
164,19.254,-15.512,98808.0,0.0
165,19.265,-15.548,97634.0,0.0
166,19.265,-15.637,95628.0,0.0
167,19.27,-15.959,90048.0,0.0
168,19.267,-16.332,88103.0,0.0
169,19.265,-16.565,96082.0,0.0
170,19.279,-16.746,95810.0,0.0
171,19.266,-16.889,97146.0,0.0
172,19.274,-17.04,98548.0,0.0
173,19.278,-17.103,105105.0,0.0
174,19.277,-17.062,87827.0,0.0
175,19.291,-17.053,85407.0,0.0
176,19.276,-17.149,104069.0,0.0
177,19.291,-17.072,96478.0,0.0
178,19.279,-16.822,96523.0,0.0
179,19.294,-16.651,95640.0,0.0
180,19.296,-16.624,95670.0,0.0
181,19.24,-16.579,20831.0,0.0
182,19.137,-16.611,11361.0,0.0
183,19.026,-16.695,11196.0,0.0
184,18.938,-16.772,11650.0,0.0
185,18.883,-16.941,17313.0,0.0
186,18.873,-17.141,27767.0,0.0
187,18.868,-17.197,34738.0,0.0
188,18.862,-17.387,35551.0,0.0
189,18.895,-17.385,36085.0,0.0
190,18.924,-17.297,36391.0,0.0
191,18.944,-17.186,60996.0,0.0
192,18.976,-17.205,56861.0,0.0
193,18.909,-17.308,6594.0,0.0
194,18.798,-17.281,16043.0,0.0
195,18.696,-17.164,11245.0,0.0
196,18.619,-17.013,8469.0,0.0
197,18.548,-17.034,8247.0,0.0
198,18.493,-17.057,10695.0,0.0
199,18.458,-17.286,8020.0,0.0
200,18.412,-17.513,8010.0,0.0
201,18.379,-17.63,10580.0,0.0
202,18.302,-17.565,7449.0,0.0
203,18.306,-17.625,7808.0,0.0
204,18.242,-17.712,10666.0,0.0
205,18.209,-17.754,5894.0,0.0
206,18.144,-17.669,8263.0,0.0
207,18.109,-17.661,10281.0,0.0
208,18.111,-17.752,10894.0,0.0
209,18.084,-17.698,7393.0,0.0
210,18.052,-17.725,12642.0,0.0
211,18.066,-17.995,24950.0,0.0
212,18.057,-18.188,34469.0,0.0
213,18.104,-18.263,36031.0,0.0
214,18.147,-18.245,36356.0,0.0
215,18.212,-18.16,36404.0,0.0
216,18.263,-18.011,36405.0,0.0
217,18.302,-17.901,35854.0,0.0
218,18.32,-17.767,36033.0,0.0
219,18.325,-17.694,36033.0,0.0
220,18.347,-17.764,36033.0,0.0
221,18.379,-17.789,70241.0,0.0
222,18.416,-17.755,87186.0,2.419
223,18.47,-17.624,80059.0,10.661
224,18.47,-17.468,91110.0,20.593
225,18.516,-17.224,93422.0,52.814
226,18.6,-16.601,86676.0,102.34
227,18.654,-15.605,104990.0,80.437
228,18.759,-15.277,108591.0,99.854
229,18.808,-15.445,92429.0,124.896
230,18.865,-15.379,93651.0,143.683
231,18.924,-14.952,97341.0,108.16
232,18.962,-14.739,96709.0,110.347
233,19.035,-14.799,95977.0,174.393
234,19.094,-14.54,97279.0,199.727
235,19.172,-13.828,94374.0,159.467
236,19.23,-13.723,88734.0,181.933
237,19.28,-13.787,96766.0,175.403
238,19.306,-13.377,106563.0,191.48
239,19.338,-12.841,92760.0,167.75
240,19.429,-12.492,78193.0,168.21
241,19.435,-12.517,92108.0,181.063
242,19.461,-12.283,56867.0,171.25
243,19.511,-11.857,90690.0,165.377
244,19.572,-11.639,77293.0,161.663
245,19.596,-11.487,89878.0,148.147
246,19.649,-11.604,90799.0,139.057
247,19.682,-11.61,94905.0,129.16
248,19.734,-11.698,95776.0,112.123
249,19.745,-11.736,70948.0,95.579
250,19.809,-11.779,79592.0,81.995
251,19.808,-11.868,89840.0,71.831
252,19.814,-12.131,96066.0,57.195
253,19.842,-12.506,97418.0,43.651
254,19.851,-12.769,96646.0,28.684
255,19.852,-12.943,98042.0,15.553
256,19.864,-13.073,96901.0,9.037
257,19.87,-13.257,81423.0,2.532
258,19.875,-13.415,98298.0,0.118
259,19.87,-13.627,92714.0,0.0
260,19.9,-13.816,96984.0,0.0
261,19.917,-13.998,95827.0,0.0
262,19.922,-14.212,97693.0,0.0
263,19.944,-14.622,97742.0,0.0
264,19.945,-14.939,97552.0,0.0
265,19.962,-14.938,97426.0,0.0
